# I (mA)  - U (V)
1.53	0
1.546	1.004
1.547	1.918
1.547	2.481
1.546	3.245
1.545	3.745
1.544	4.42
1.544	5.25
1.543	6.24
1.543	6.88
1.542	7.46
1.542	7.96
1.541	8.64
1.541	9.20
1.54	9.88
1.539	10.42
1.539	11.18
1.538	11.84
1.537	12.62
1.536	12.88
1.536	13.24
1.536	13.85
1.536	14.53
1.535	14.98
1.534	15.55
1.534	16.08
1.534	16.81
1.532	17.50
1.531	18.23
1.531	19.36
1.53	20.26
1.529	20.94
1.529	21.52
1.528	22.01
1.528	22.55
1.527	23.38
1.526	24.21
1.526	24.72
1.525	25.56
1.524	26.62
1.523	27.20
1.52	28.14
1.495	28.26
1.435	28.33
1.407	28.36
1.365	28.40
1.325	28.43
1.271	28.47
1.241	28.50
1.176	28.55
1.146	28.57
